speaker_id,recording_id,geometry,unique_cutpoint_count,inside_phone_count,inside_phone_rate,depth_gt_20ms_count,depth_gt_50ms_count,depth_gt_100ms_count,depth_gt_20ms_rate,depth_gt_50ms_rate,depth_gt_100ms_rate,edge_occurrence_count,edge_inside_phone_count,edge_inside_phone_rate,edge_depth_gt_20ms_count,edge_depth_gt_50ms_count,edge_depth_gt_100ms_count,edge_depth_gt_20ms_rate,edge_depth_gt_50ms_rate,edge_depth_gt_100ms_rate,eligible_target_speech_sec,retained_target_speech_sec,speech_coverage,emitted_audio_sec,clip_count,mean_clip_duration_sec,geometry_fingerprint,policy_fingerprint,vad_observation_count,vad_timestamp_sha256,vad_probability_sha256,candidate_cutpoint_sha256,selected_cutpoint_sha256,selected_clip_sha256,elapsed_sec,workdir,vad_compute_count,feature_bundle_id,vad_compute_sec,policy_eval_sec
s01,s0101b,A_O50_8,61,12,0.19672131147540983,7,1,0,0.11475409836065574,0.01639344262295082,0.0,62,13,0.20967741935483872,7,1,0,0.11290322580645161,0.016129032258064516,0.0,209.11561500000002,146.16466499999984,0.6989658089377966,160.66400000000013,31,5.182709677419359,72ea8093df3fb11222b7291a784e2272246d6349ad6d5da63900e79412997498,7742f46ba78ed9fa88c087d5ec69553ce3988bd974cf12b77459f3fa28b99e2d,69829,b5f8a95b25d461ec3215edf05f53a64020c432b08d7f50d8cefb5751856aba9b,384a554710434280e25c770cc87360cb0d79a3166be9cd62ec7f621d1a8f1c9b,835a283ac8a08d15a2c476ee85cc1038028df075c42b92849fa378efb48602be,fde371348ffd3e0de0343f96160d7e7ec8b17b02029203168bb09da0d9d03b61,6694f87bbf9bec0d96aa648a36a3c853910f2b919a606e785e1a7ee36fa5ab25,19.337676,/tmp/buckeye_slicer_A_O50_8_crk_1clh,1,a02cb400b2054c6482fa124cdbb20cb2,19.290103086999807,0.04757254500145791
s01,s0101b,O25_4_CURRENT,59,10,0.1694915254237288,4,1,0,0.06779661016949153,0.01694915254237288,0.0,60,10,0.16666666666666666,4,1,0,0.06666666666666667,0.016666666666666666,0.0,209.11561500000002,138.33045599999988,0.6615022794926141,152.244,30,5.0748,5c718a3fdc193cf92e8babe55085d9a6c49c09e1bb11c69c0d3e71192acf39c2,4d91cdf714e69daea4f314ed620dca131eeb7abcf0c1c2d2c2cf9f50a66a0f20,139658,ab91a53220904c729eba6f2b4508bc5eb537415a15619e2bd9f6dc755686c64a,d5c0cc36494cec66400e90f4f9b9ac285361a8c684e8b20c9c5ee6484d9ade54,1bd14ce4c5f67d2fb21777d94e8a5a56097fb455384b65c1e209912dd015d8fe,9fa8643b6b061a68f84045aaf60bfd71b4ce0a1133f4ea53c8e1e7b407c8cd58,6db0490f3b1917dce995d8fdf1cbe1a445c222dc4ccd8e65285ef8064675cab5,12.077425,/tmp/buckeye_slicer_O25_4_CURRENT_family_bpg67yyb,1,656d2e1b1f2f4fbd98d674480ca26915,12.073600833000455,0.003824258999884478
s01,s0101b,O25_4_WEAK_VALLEY_VETO,59,10,0.1694915254237288,4,1,0,0.06779661016949153,0.01694915254237288,0.0,60,10,0.16666666666666666,4,1,0,0.06666666666666667,0.016666666666666666,0.0,209.11561500000002,138.33045599999988,0.6615022794926141,152.244,30,5.0748,5c718a3fdc193cf92e8babe55085d9a6c49c09e1bb11c69c0d3e71192acf39c2,0babdff8a0bf31686f02bc66a2304051d36946569fa3c2dfdf360aa5b9d73400,139658,ab91a53220904c729eba6f2b4508bc5eb537415a15619e2bd9f6dc755686c64a,d5c0cc36494cec66400e90f4f9b9ac285361a8c684e8b20c9c5ee6484d9ade54,1bd14ce4c5f67d2fb21777d94e8a5a56097fb455384b65c1e209912dd015d8fe,9fa8643b6b061a68f84045aaf60bfd71b4ce0a1133f4ea53c8e1e7b407c8cd58,6db0490f3b1917dce995d8fdf1cbe1a445c222dc4ccd8e65285ef8064675cab5,0.439105,/tmp/buckeye_slicer_O25_4_CURRENT_family_bpg67yyb,0,656d2e1b1f2f4fbd98d674480ca26915,,0.43910513700029696
s01,s0101b,O25_4_SHORT_SHALLOW_PENALTY,59,10,0.1694915254237288,4,1,0,0.06779661016949153,0.01694915254237288,0.0,60,10,0.16666666666666666,4,1,0,0.06666666666666667,0.016666666666666666,0.0,209.11561500000002,138.33045599999988,0.6615022794926141,152.244,30,5.0748,5c718a3fdc193cf92e8babe55085d9a6c49c09e1bb11c69c0d3e71192acf39c2,f318e169fdf6a6d7ae8575d10251c7958f6f4a50da2a1036c55e4a20d0719c96,139658,ab91a53220904c729eba6f2b4508bc5eb537415a15619e2bd9f6dc755686c64a,d5c0cc36494cec66400e90f4f9b9ac285361a8c684e8b20c9c5ee6484d9ade54,1bd14ce4c5f67d2fb21777d94e8a5a56097fb455384b65c1e209912dd015d8fe,9fa8643b6b061a68f84045aaf60bfd71b4ce0a1133f4ea53c8e1e7b407c8cd58,6db0490f3b1917dce995d8fdf1cbe1a445c222dc4ccd8e65285ef8064675cab5,1.148653,/tmp/buckeye_slicer_O25_4_CURRENT_family_bpg67yyb,0,656d2e1b1f2f4fbd98d674480ca26915,,1.1486529230005544
s01,s0101b,O25_4_WAVEFORM_SILENCE_RATIO,59,10,0.1694915254237288,4,1,0,0.06779661016949153,0.01694915254237288,0.0,60,10,0.16666666666666666,4,1,0,0.06666666666666667,0.016666666666666666,0.0,209.11561500000002,138.33045599999988,0.6615022794926141,152.244,30,5.0748,5c718a3fdc193cf92e8babe55085d9a6c49c09e1bb11c69c0d3e71192acf39c2,da44de1d6eefc930ed12f9be87bb2491756fd137310b5cb974acf545f9d8c0c9,139658,ab91a53220904c729eba6f2b4508bc5eb537415a15619e2bd9f6dc755686c64a,d5c0cc36494cec66400e90f4f9b9ac285361a8c684e8b20c9c5ee6484d9ade54,1bd14ce4c5f67d2fb21777d94e8a5a56097fb455384b65c1e209912dd015d8fe,9fa8643b6b061a68f84045aaf60bfd71b4ce0a1133f4ea53c8e1e7b407c8cd58,6db0490f3b1917dce995d8fdf1cbe1a445c222dc4ccd8e65285ef8064675cab5,0.570659,/tmp/buckeye_slicer_O25_4_CURRENT_family_bpg67yyb,0,656d2e1b1f2f4fbd98d674480ca26915,,0.5706590110003162
s01,s0101b,O0_4,55,9,0.16363636363636364,5,0,0,0.09090909090909091,0.0,0.0,56,9,0.16071428571428573,5,0,0,0.08928571428571429,0.0,0.0,209.11561500000002,130.0281159999999,0.6218001271688864,143.732,28,5.133285714285714,87130029b5443647ed1f1febd32ab768bf957a0a1698217eb3cf14b2d00c6ecf,7742f46ba78ed9fa88c087d5ec69553ce3988bd974cf12b77459f3fa28b99e2d,139658,2782d4bb2a530808626b99eae1aeb3e51d6e4981e47584d4f3e9692b56a234f9,4e4584a5863e2d63a13b5175a0fbfdfe0457ab33a360df8c79c4a4b8e17f170c,2ab0ebe3ad0f23b799a7659fd42449a681a6c2a7f2281a69787839c75731ca57,859d0c4cd3b83eaf7502c4710a4394c7135806d330b5d8a746af01d127bd64d8,b30ca7cab60532a8eb945a34f5853f41ceeff0068be93bf74e3f95fd318082ca,12.055806,/tmp/buckeye_slicer_O0_4_8pn4v13a,1,2c8a47669d104260881489baf9c4fd78,11.980536519000452,0.0752691789984965
s01,s0101b,O0_2,55,9,0.16363636363636364,5,0,0,0.09090909090909091,0.0,0.0,56,9,0.16071428571428573,5,0,0,0.08928571428571429,0.0,0.0,209.11561500000002,130.0341159999999,0.62182881943082,143.87199999999993,28,5.138285714285712,b8f9c3af61c5c18d8b52a1cdb992e5c98e154bc752c5665b52bea987b6d3c947,7742f46ba78ed9fa88c087d5ec69553ce3988bd974cf12b77459f3fa28b99e2d,279315,fe4e799b924c00133081c98246d51480eeb1eb5710b07afaf4ea9bfddc9eef1c,c9bbc57c9cf2d639d5c981344ffe579d53e5df845a7816e5e227b96a736cccd9,5a56fffd24ccb3b4181ba4176689f53778c93f465afe41994421674b5e732a69,0fb5f5721cef8346bc0c39aadb105f00655084b3c0fc73a855b2de548b2d1aee,b25cde7f4fcbcf0be17c45d6824570164b7b9d56f406b991bb04f5eb6de3d338,24.479446,/tmp/buckeye_slicer_O0_2_tfdw6jlz,1,4079e81aa9444604a8f9bf772b781c1f,24.328281056999913,0.15116523199867515
s02,s0201b,A_O50_8,23,2,0.08695652173913043,0,0,0,0.0,0.0,0.0,26,2,0.07692307692307693,0,0,0,0.0,0.0,0.0,84.13449100000008,65.20768599999997,0.7750410708492894,71.96800000000003,13,5.536000000000002,72ea8093df3fb11222b7291a784e2272246d6349ad6d5da63900e79412997498,7742f46ba78ed9fa88c087d5ec69553ce3988bd974cf12b77459f3fa28b99e2d,32484,8b2efa05a43b198d1fc7be34bc4d73cdbd2fe9258a1118ced61c942016203f41,68734076bed194547a53560ffd2079703f6cd9c224ffa7d03ddb39f86eb75b8a,41f59f5212a17f99a1653d1d17cf5ec3a663aaaba2ef7be5c145745fcb8a3fcc,ada5ac545f7aaee1808b6708f893bb20b03251d005a4efd6005aa56a309d7ad4,bcb6a571f8b361d387e736ec13f8d13acd5ae2809a705d0d0b58e9a2071fc64c,18.31647,/tmp/buckeye_slicer_A_O50_8__24qpssu,1,5f9334f7855c4033a494bb6df7d5ee6a,18.298115077999682,0.01835442899937334
s02,s0201b,O25_4_CURRENT,22,2,0.09090909090909091,0,0,0,0.0,0.0,0.0,24,2,0.08333333333333333,0,0,0,0.0,0.0,0.0,84.13449100000008,65.21568599999995,0.7751361567041498,72.09599999999999,12,6.007999999999999,5c718a3fdc193cf92e8babe55085d9a6c49c09e1bb11c69c0d3e71192acf39c2,4d91cdf714e69daea4f314ed620dca131eeb7abcf0c1c2d2c2cf9f50a66a0f20,64968,fbb3295d982a49a094a5bfd4ffeb6dd084dc4a39d337580c96823ca4c555bab1,d04e3c03206e9627b9e6f8abc805209fb0c02dffe4d903244725d681756546f9,e9857ce44917ebd4879e22234390efbd3b1382ce57b25ce6db27b9c834aba50d,5b7fa32960bea3e77505cb93b6507c054d10ebe8153224762a66e6860f4c4299,546d2240a2ba9f2a91e17d71d8ba88de7fe5f83534ea4b92513b0252609a126e,6.296693,/tmp/buckeye_slicer_O25_4_CURRENT_family_42aabkrp,1,666186cfede743a4be7c70a8da2f4057,6.295434793999448,0.0012578349997056648
s02,s0201b,O25_4_WEAK_VALLEY_VETO,22,2,0.09090909090909091,0,0,0,0.0,0.0,0.0,24,2,0.08333333333333333,0,0,0,0.0,0.0,0.0,84.13449100000008,65.21568599999995,0.7751361567041498,72.09599999999999,12,6.007999999999999,5c718a3fdc193cf92e8babe55085d9a6c49c09e1bb11c69c0d3e71192acf39c2,0babdff8a0bf31686f02bc66a2304051d36946569fa3c2dfdf360aa5b9d73400,64968,fbb3295d982a49a094a5bfd4ffeb6dd084dc4a39d337580c96823ca4c555bab1,d04e3c03206e9627b9e6f8abc805209fb0c02dffe4d903244725d681756546f9,e9857ce44917ebd4879e22234390efbd3b1382ce57b25ce6db27b9c834aba50d,5b7fa32960bea3e77505cb93b6507c054d10ebe8153224762a66e6860f4c4299,546d2240a2ba9f2a91e17d71d8ba88de7fe5f83534ea4b92513b0252609a126e,0.064391,/tmp/buckeye_slicer_O25_4_CURRENT_family_42aabkrp,0,666186cfede743a4be7c70a8da2f4057,,0.0643911159986601
