speaker_id,recording_id,geometry,unique_cutpoint_count,inside_phone_count,inside_phone_rate,depth_gt_20ms_count,depth_gt_50ms_count,depth_gt_100ms_count,depth_gt_20ms_rate,depth_gt_50ms_rate,depth_gt_100ms_rate,edge_occurrence_count,edge_inside_phone_count,edge_inside_phone_rate,edge_depth_gt_20ms_count,edge_depth_gt_50ms_count,edge_depth_gt_100ms_count,edge_depth_gt_20ms_rate,edge_depth_gt_50ms_rate,edge_depth_gt_100ms_rate,eligible_target_speech_sec,retained_target_speech_sec,speech_coverage,emitted_audio_sec,clip_count,mean_clip_duration_sec,geometry_fingerprint,candidate_count,selected_cutpoint_sha256,selected_clip_sha256
s01,s0101b,O0_4,55,9,0.16363636363636364,5,0,0,0.09090909090909091,0.0,0.0,56,9,0.16071428571428573,5,0,0,0.08928571428571429,0.0,0.0,209.11561500000002,130.0281159999999,0.6218001271688864,143.732,28,5.133285714285714,87130029b5443647ed1f1febd32ab768bf957a0a1698217eb3cf14b2d00c6ecf,172,859d0c4cd3b83eaf7502c4710a4394c7135806d330b5d8a746af01d127bd64d8,b30ca7cab60532a8eb945a34f5853f41ceeff0068be93bf74e3f95fd318082ca
s01,s0101b,O0_4_LR_rms_waveform_inside,55,9,0.16363636363636364,5,0,0,0.09090909090909091,0.0,0.0,56,9,0.16071428571428573,5,0,0,0.08928571428571429,0.0,0.0,209.11561500000002,130.0281159999999,0.6218001271688864,143.732,28,5.133285714285714,87130029b5443647ed1f1febd32ab768bf957a0a1698217eb3cf14b2d00c6ecf,172,859d0c4cd3b83eaf7502c4710a4394c7135806d330b5d8a746af01d127bd64d8,b30ca7cab60532a8eb945a34f5853f41ceeff0068be93bf74e3f95fd318082ca
s01,s0101b,O0_4_LR_rms_waveform_gt20ms,55,9,0.16363636363636364,5,0,0,0.09090909090909091,0.0,0.0,56,9,0.16071428571428573,5,0,0,0.08928571428571429,0.0,0.0,209.11561500000002,130.0281159999999,0.6218001271688864,143.732,28,5.133285714285714,87130029b5443647ed1f1febd32ab768bf957a0a1698217eb3cf14b2d00c6ecf,172,859d0c4cd3b83eaf7502c4710a4394c7135806d330b5d8a746af01d127bd64d8,b30ca7cab60532a8eb945a34f5853f41ceeff0068be93bf74e3f95fd318082ca
s01,s0101b,O0_4_LR_rms_waveform_gt50ms,55,9,0.16363636363636364,5,0,0,0.09090909090909091,0.0,0.0,56,9,0.16071428571428573,5,0,0,0.08928571428571429,0.0,0.0,209.11561500000002,130.0281159999999,0.6218001271688864,143.732,28,5.133285714285714,87130029b5443647ed1f1febd32ab768bf957a0a1698217eb3cf14b2d00c6ecf,172,859d0c4cd3b83eaf7502c4710a4394c7135806d330b5d8a746af01d127bd64d8,b30ca7cab60532a8eb945a34f5853f41ceeff0068be93bf74e3f95fd318082ca
s01,s0101b,O0_4_LR_vad_only_inside,55,10,0.18181818181818182,6,0,0,0.10909090909090909,0.0,0.0,56,10,0.17857142857142858,6,0,0,0.10714285714285714,0.0,0.0,209.11561500000002,128.45129999999995,0.6142597242200203,141.852,28,5.066142857142857,87130029b5443647ed1f1febd32ab768bf957a0a1698217eb3cf14b2d00c6ecf,172,c07c8bd9ebedd3a9feee4c09c74c13727c01561e9a6f8374fb1a4437677426b4,2254e5aa669e4146130e0eaf02f3042c9a305729b8099491188b67f5c319e9c0
s01,s0101b,O0_4_LR_vad_only_gt20ms,55,10,0.18181818181818182,6,0,0,0.10909090909090909,0.0,0.0,56,10,0.17857142857142858,6,0,0,0.10714285714285714,0.0,0.0,209.11561500000002,128.45129999999995,0.6142597242200203,141.852,28,5.066142857142857,87130029b5443647ed1f1febd32ab768bf957a0a1698217eb3cf14b2d00c6ecf,172,c07c8bd9ebedd3a9feee4c09c74c13727c01561e9a6f8374fb1a4437677426b4,2254e5aa669e4146130e0eaf02f3042c9a305729b8099491188b67f5c319e9c0
s01,s0101b,O0_4_LR_vad_only_gt50ms,55,9,0.16363636363636364,5,0,0,0.09090909090909091,0.0,0.0,56,9,0.16071428571428573,5,0,0,0.08928571428571429,0.0,0.0,209.11561500000002,129.6340409999999,0.6199156433153015,143.196,28,5.114142857142857,87130029b5443647ed1f1febd32ab768bf957a0a1698217eb3cf14b2d00c6ecf,172,90d6de491f42d17f5cdbdf3172430b6279bc3609ad977d63edcb216305c29f26,8e1b016d78c9ef7934d9afb89c915137fa141edfd4cd58cb632282aa9e7898fa
s01,s0101b,O0_4_LR_all_inside,55,9,0.16363636363636364,5,0,0,0.09090909090909091,0.0,0.0,56,9,0.16071428571428573,5,0,0,0.08928571428571429,0.0,0.0,209.11561500000002,129.6340409999999,0.6199156433153015,143.196,28,5.114142857142857,87130029b5443647ed1f1febd32ab768bf957a0a1698217eb3cf14b2d00c6ecf,172,90d6de491f42d17f5cdbdf3172430b6279bc3609ad977d63edcb216305c29f26,8e1b016d78c9ef7934d9afb89c915137fa141edfd4cd58cb632282aa9e7898fa
s01,s0101b,O0_4_LR_all_gt20ms,55,9,0.16363636363636364,5,0,0,0.09090909090909091,0.0,0.0,56,9,0.16071428571428573,5,0,0,0.08928571428571429,0.0,0.0,209.11561500000002,130.0281159999999,0.6218001271688864,143.732,28,5.133285714285714,87130029b5443647ed1f1febd32ab768bf957a0a1698217eb3cf14b2d00c6ecf,172,859d0c4cd3b83eaf7502c4710a4394c7135806d330b5d8a746af01d127bd64d8,b30ca7cab60532a8eb945a34f5853f41ceeff0068be93bf74e3f95fd318082ca
s01,s0101b,O0_4_LR_all_gt50ms,55,9,0.16363636363636364,5,0,0,0.09090909090909091,0.0,0.0,56,9,0.16071428571428573,5,0,0,0.08928571428571429,0.0,0.0,209.11561500000002,130.0281159999999,0.6218001271688864,143.732,28,5.133285714285714,87130029b5443647ed1f1febd32ab768bf957a0a1698217eb3cf14b2d00c6ecf,172,859d0c4cd3b83eaf7502c4710a4394c7135806d330b5d8a746af01d127bd64d8,b30ca7cab60532a8eb945a34f5853f41ceeff0068be93bf74e3f95fd318082ca
