speaker_id,recording_id,geometry,unique_cutpoint_count,inside_phone_count,inside_phone_rate,depth_gt_20ms_count,depth_gt_50ms_count,depth_gt_100ms_count,depth_gt_20ms_rate,depth_gt_50ms_rate,depth_gt_100ms_rate,edge_occurrence_count,edge_inside_phone_count,edge_inside_phone_rate,edge_depth_gt_20ms_count,edge_depth_gt_50ms_count,edge_depth_gt_100ms_count,edge_depth_gt_20ms_rate,edge_depth_gt_50ms_rate,edge_depth_gt_100ms_rate,eligible_target_speech_sec,retained_target_speech_sec,speech_coverage,emitted_audio_sec,clip_count,mean_clip_duration_sec,geometry_fingerprint,policy_fingerprint,vad_observation_count,vad_timestamp_sha256,vad_probability_sha256,candidate_cutpoint_sha256,selected_cutpoint_sha256,selected_clip_sha256,workdir
s01,s0102b,min_quiet_run_64ms,59,11,0.1864406779661017,9,2,0,0.15254237288135594,0.03389830508474576,0.0,64,12,0.1875,10,3,0,0.15625,0.046875,0.0,247.2786510000001,145.56045900000015,0.5886495191208403,164.17600000000007,32,5.130500000000002,72ea8093df3fb11222b7291a784e2272246d6349ad6d5da63900e79412997498,147296b66139fb1e25f990a73fc8504c73dcc082cbd7ad0e1f082f2cacec28a9,69505,052b56263617d73b0e0c3a987d45a90bc390cdbceaeb39b1d62e08d9cdf0a02e,87711b564c6e4d6a4083df2e4b6741fd162f86cec4f48c34803d08f684ab3cec,397dea95f70e7d49f7fd61bdd394f068c72b18b00c8ebc1935be179a8ac51219,576e808bbb135136ffb2d069ad0e7eaeaf0263c907d61c573029c414d89ee29f,d24c19d3c788d12aae26b496a868183d03fb03e648e8756962c58b241c174e2c,/tmp/buckeye_slicer_min_quiet_run_64ms__7dc3fap
s01,s0102b,quiet_run_score,65,16,0.24615384615384617,13,2,0,0.2,0.03076923076923077,0.0,70,17,0.24285714285714285,14,3,0,0.2,0.04285714285714286,0.0,247.2786510000001,159.31021200000015,0.6442538058006475,179.63200000000012,35,5.13234285714286,72ea8093df3fb11222b7291a784e2272246d6349ad6d5da63900e79412997498,9f81ddd3e1ece099fb5400ba14ba18280c8818346149f168c5660056e4c18f56,69505,052b56263617d73b0e0c3a987d45a90bc390cdbceaeb39b1d62e08d9cdf0a02e,87711b564c6e4d6a4083df2e4b6741fd162f86cec4f48c34803d08f684ab3cec,a6b26bbc95c28fbfaf98daa8f068e92166d3aa1ca13fe1aed64018b258befe8b,584972fe0d43191a332e35ab4d7c2c0ff05c2b36e4924d9e59432a645406fa94,01868da8c9f90fc8285b6ba68ee2b0d05d45e5fae8443315ec67b3dcdc4be8d3,/tmp/buckeye_slicer_quiet_run_score_w0h1mlye
s01,s0103a,current_A,49,11,0.22448979591836735,3,2,1,0.061224489795918366,0.04081632653061224,0.02040816326530612,50,12,0.24,4,3,2,0.08,0.06,0.04,184.805317,119.40362199999998,0.6461049061699885,130.848,25,5.23392,72ea8093df3fb11222b7291a784e2272246d6349ad6d5da63900e79412997498,7742f46ba78ed9fa88c087d5ec69553ce3988bd974cf12b77459f3fa28b99e2d,53796,2788a70ecbe971b843b1a7412258dd6fca21a0a39cb2f6af354f945f3db002dd,fe8db971d76d15ffcd7e50850c88afc413c4171869fc07318d19910da59e0d37,d65315883d527ba03889ad68426efe50edde4dc9021d805a4cf8ff556357d287,48eaa2743ddcc377669abdcf822d26442d7042f6b2cc271bca1530c283954d62,3399780d115c69b02bb74cbf41e173857264637b8d3b0472e7381a95d2a77fc9,/tmp/buckeye_slicer_current_A_j8ttjvmj
s01,s0103a,proper_D,43,8,0.18604651162790697,5,2,1,0.11627906976744186,0.046511627906976744,0.023255813953488372,44,9,0.20454545454545456,6,3,2,0.13636363636363635,0.06818181818181818,0.045454545454545456,184.805317,107.36742700000002,0.5809758547152625,118.02400000000004,22,5.364727272727275,b35b56fbf50e01487bef7f59ef870fe839ea7b8d3f84afb9014d7c5503a3e4dc,7742f46ba78ed9fa88c087d5ec69553ce3988bd974cf12b77459f3fa28b99e2d,53796,222a9a2a1890817d7f2053e4404ede3ac8373058f8d3864524fb9de9328da9ca,9ba691484105a4e737b4ec4fe0106261c5f3094fd998fd47d3162e04d2e7f24c,1cef63b12e646231e4327b959b812fd4640a20f107899f19ea64623be1351e18,e3ac41f439bba2da904e662e046f6c62a7d630defd0cf5ed3c50a817cf3f81af,489d0bb00a32c618baddbc703d053e17ed0dadc5ae0794bd77b0a327f610a460,/tmp/buckeye_slicer_proper_D_o9m8x996
s01,s0103a,min_quiet_run_64ms,47,11,0.23404255319148937,4,2,1,0.0851063829787234,0.0425531914893617,0.02127659574468085,48,12,0.25,5,3,2,0.10416666666666667,0.0625,0.041666666666666664,184.805317,115.94791099999998,0.6274057093281573,126.72800000000001,24,5.280333333333334,72ea8093df3fb11222b7291a784e2272246d6349ad6d5da63900e79412997498,147296b66139fb1e25f990a73fc8504c73dcc082cbd7ad0e1f082f2cacec28a9,53796,2788a70ecbe971b843b1a7412258dd6fca21a0a39cb2f6af354f945f3db002dd,fe8db971d76d15ffcd7e50850c88afc413c4171869fc07318d19910da59e0d37,07abbf22200a47e2fe8bedfa747d16d7b9c59046df936564f9365c2319d4dcd5,da7b2912c685dcc9701280609597535f1dc608c4fdfe40d7cf1a5ae71a2a9c7b,d536a364721e92fc98f788008a58518f60493fb916eaa2c7a37dfd43d8c1bc4e,/tmp/buckeye_slicer_min_quiet_run_64ms_ojko9__n
s01,s0103a,quiet_run_score,50,12,0.24,5,2,1,0.1,0.04,0.02,52,14,0.2692307692307692,7,3,2,0.1346153846153846,0.057692307692307696,0.038461538461538464,184.805317,120.08780399999998,0.6498070832020486,131.38400000000001,26,5.05323076923077,72ea8093df3fb11222b7291a784e2272246d6349ad6d5da63900e79412997498,9f81ddd3e1ece099fb5400ba14ba18280c8818346149f168c5660056e4c18f56,53796,2788a70ecbe971b843b1a7412258dd6fca21a0a39cb2f6af354f945f3db002dd,fe8db971d76d15ffcd7e50850c88afc413c4171869fc07318d19910da59e0d37,d65315883d527ba03889ad68426efe50edde4dc9021d805a4cf8ff556357d287,7901e9e9416fed308b947cc7853bd98e5b031b9541635bd5f67460cf6c54decf,fafb7bd48b1aba8c512f2dc309a5f0a89198477337ddeb3efb78c8f069488261,/tmp/buckeye_slicer_quiet_run_score_k46ndcse
s02,s0201b,current_A,23,2,0.08695652173913043,0,0,0,0.0,0.0,0.0,26,2,0.07692307692307693,0,0,0,0.0,0.0,0.0,84.13449100000008,65.20768599999997,0.7750410708492894,71.96800000000003,13,5.536000000000002,72ea8093df3fb11222b7291a784e2272246d6349ad6d5da63900e79412997498,7742f46ba78ed9fa88c087d5ec69553ce3988bd974cf12b77459f3fa28b99e2d,32484,8b2efa05a43b198d1fc7be34bc4d73cdbd2fe9258a1118ced61c942016203f41,68734076bed194547a53560ffd2079703f6cd9c224ffa7d03ddb39f86eb75b8a,41f59f5212a17f99a1653d1d17cf5ec3a663aaaba2ef7be5c145745fcb8a3fcc,ada5ac545f7aaee1808b6708f893bb20b03251d005a4efd6005aa56a309d7ad4,bcb6a571f8b361d387e736ec13f8d13acd5ae2809a705d0d0b58e9a2071fc64c,/tmp/buckeye_slicer_current_A_zzcby8qf
s02,s0201b,proper_D,18,1,0.05555555555555555,1,0,0,0.05555555555555555,0.0,0.0,18,1,0.05555555555555555,1,0,0,0.05555555555555555,0.0,0.0,84.13449100000008,41.37084499999999,0.4917227703915146,46.36800000000005,9,5.1520000000000055,b35b56fbf50e01487bef7f59ef870fe839ea7b8d3f84afb9014d7c5503a3e4dc,7742f46ba78ed9fa88c087d5ec69553ce3988bd974cf12b77459f3fa28b99e2d,32484,7764fc90e1c0ed7b572c39b39598fc51e57885c599e326fabe3c27dd497f4c20,7ab18180177334e785d91da63393962528534f92dda4c2c63df2c2c686c700a9,7b85bf54f00f0b0faf61dcdf6e7acb9e60cef23df79d9c3d481fcbd07a6a07f3,3ceaca14370472d125444d5a7a58a2c0cae850e2671681f88a8e5e6a0ff88476,faf10dcb889871528f14673acefa45dc8b6a5c1600028b710a5edd2bea227fdd,/tmp/buckeye_slicer_proper_D_2r0_4ouk
s02,s0201b,min_quiet_run_64ms,21,2,0.09523809523809523,0,0,0,0.0,0.0,0.0,24,2,0.08333333333333333,0,0,0,0.0,0.0,0.0,84.13449100000008,61.58168599999999,0.7319434071337038,67.27200000000003,12,5.6060000000000025,72ea8093df3fb11222b7291a784e2272246d6349ad6d5da63900e79412997498,147296b66139fb1e25f990a73fc8504c73dcc082cbd7ad0e1f082f2cacec28a9,32484,8b2efa05a43b198d1fc7be34bc4d73cdbd2fe9258a1118ced61c942016203f41,68734076bed194547a53560ffd2079703f6cd9c224ffa7d03ddb39f86eb75b8a,dbc14c0af6c4df03664cda948370696efc2586eef14a67312a3d0167a7e7bd45,90b33dfce1489a7905ca46a6b552403a0718d60bea9b3b56e23ed16b42f65545,bf0317f2b531035d41c2a9e2b646d0b6d23f285fb57d3ba280562b3e0e172577,/tmp/buckeye_slicer_min_quiet_run_64ms_v0pay_gv
s02,s0201b,quiet_run_score,23,2,0.08695652173913043,0,0,0,0.0,0.0,0.0,26,2,0.07692307692307693,0,0,0,0.0,0.0,0.0,84.13449100000008,63.81768599999998,0.7585199035672531,70.40000000000002,13,5.415384615384617,72ea8093df3fb11222b7291a784e2272246d6349ad6d5da63900e79412997498,9f81ddd3e1ece099fb5400ba14ba18280c8818346149f168c5660056e4c18f56,32484,8b2efa05a43b198d1fc7be34bc4d73cdbd2fe9258a1118ced61c942016203f41,68734076bed194547a53560ffd2079703f6cd9c224ffa7d03ddb39f86eb75b8a,41f59f5212a17f99a1653d1d17cf5ec3a663aaaba2ef7be5c145745fcb8a3fcc,41863f225cd5bf4018bb80f100ac4d3d9823f3932d546fb2158f2c25889aa3b7,99b8fee67bc0e488f000e0312d7dff5930e976bd5ad76aa0a223a8a01a07b69f,/tmp/buckeye_slicer_quiet_run_score_zf5563b2
