geometry,speaker_id,recording_id,buffer_id,time_sec,depth_ms,gt_20ms,gt_50ms,gt_100ms
current_A,s01,s0102a,s01_s0102a_raw_nemo_buffer_000111,541.04,19.446,False,False,False
current_A,s01,s0102a,s01_s0102a_raw_nemo_buffer_000113,553.528,8.0,False,False,False
current_A,s01,s0102a,s01_s0102a_raw_nemo_buffer_000119,581.832,4.5,False,False,False
proper_D,s01,s0102a,s01_s0102a_raw_nemo_buffer_000021,110.416,26.725,True,False,False
proper_D,s01,s0102a,s01_s0102a_raw_nemo_buffer_000033,174.88,16.0,False,False,False
proper_D,s01,s0102a,s01_s0102a_raw_nemo_buffer_000035,191.176,74.938,True,True,False
proper_D,s01,s0102a,s01_s0102a_raw_nemo_buffer_000039,219.504,0.233,False,False,False
proper_D,s01,s0102a,s01_s0102a_raw_nemo_buffer_000045,254.36,24.0,True,False,False
proper_D,s01,s0102a,s01_s0102a_raw_nemo_buffer_000062,318.832,32.0,True,False,False
proper_D,s01,s0102a,s01_s0102a_raw_nemo_buffer_000062,326.424,16.527,False,False,False
proper_D,s01,s0102a,s01_s0102a_raw_nemo_buffer_000070,368.504,40.0,True,False,False
proper_D,s01,s0102a,s01_s0102a_raw_nemo_buffer_000080,419.472,19.878,False,False,False
proper_D,s01,s0102a,s01_s0102a_raw_nemo_buffer_000085,442.4,4.354,False,False,False
proper_D,s01,s0102a,s01_s0102a_raw_nemo_buffer_000085,450.016,58.815,True,True,False
proper_D,s01,s0102a,s01_s0102a_raw_nemo_buffer_000108,518.064,42.563,True,False,False
proper_D,s01,s0102a,s01_s0102a_raw_nemo_buffer_000111,541.024,3.446,False,False,False
proper_D,s01,s0102a,s01_s0102a_raw_nemo_buffer_000113,553.528,8.0,False,False,False
min_quiet_run_64ms,s01,s0102a,s01_s0102a_raw_nemo_buffer_000021,110.432,42.725,True,False,False
min_quiet_run_64ms,s01,s0102a,s01_s0102a_raw_nemo_buffer_000033,175.656,21.75,True,False,False
min_quiet_run_64ms,s01,s0102a,s01_s0102a_raw_nemo_buffer_000035,189.32,40.096,True,False,False
min_quiet_run_64ms,s01,s0102a,s01_s0102a_raw_nemo_buffer_000045,254.352,32.0,True,False,False
min_quiet_run_64ms,s01,s0102a,s01_s0102a_raw_nemo_buffer_000062,318.816,16.0,False,False,False
min_quiet_run_64ms,s01,s0102a,s01_s0102a_raw_nemo_buffer_000062,326.408,0.527,False,False,False
min_quiet_run_64ms,s01,s0102a,s01_s0102a_raw_nemo_buffer_000070,368.488,24.0,True,False,False
min_quiet_run_64ms,s01,s0102a,s01_s0102a_raw_nemo_buffer_000076,404.896,12.71,False,False,False
min_quiet_run_64ms,s01,s0102a,s01_s0102a_raw_nemo_buffer_000080,419.472,19.878,False,False,False
min_quiet_run_64ms,s01,s0102a,s01_s0102a_raw_nemo_buffer_000085,450.016,58.815,True,True,False
min_quiet_run_64ms,s01,s0102a,s01_s0102a_raw_nemo_buffer_000108,518.04,23.221,True,False,False
min_quiet_run_64ms,s01,s0102a,s01_s0102a_raw_nemo_buffer_000110,535.056,43.238,True,False,False
min_quiet_run_64ms,s01,s0102a,s01_s0102a_raw_nemo_buffer_000111,541.04,19.446,False,False,False
min_quiet_run_64ms,s01,s0102a,s01_s0102a_raw_nemo_buffer_000113,553.528,8.0,False,False,False
min_quiet_run_64ms,s01,s0102a,s01_s0102a_raw_nemo_buffer_000119,581.832,4.5,False,False,False
quiet_run_score,s01,s0102a,s01_s0102a_raw_nemo_buffer_000021,110.432,42.725,True,False,False
quiet_run_score,s01,s0102a,s01_s0102a_raw_nemo_buffer_000029,145.12,21.053,True,False,False
quiet_run_score,s01,s0102a,s01_s0102a_raw_nemo_buffer_000033,175.656,21.75,True,False,False
quiet_run_score,s01,s0102a,s01_s0102a_raw_nemo_buffer_000035,187.384,8.0,False,False,False
quiet_run_score,s01,s0102a,s01_s0102a_raw_nemo_buffer_000038,207.856,69.616,True,True,False
quiet_run_score,s01,s0102a,s01_s0102a_raw_nemo_buffer_000045,254.352,32.0,True,False,False
quiet_run_score,s01,s0102a,s01_s0102a_raw_nemo_buffer_000062,318.816,16.0,False,False,False
quiet_run_score,s01,s0102a,s01_s0102a_raw_nemo_buffer_000062,330.84,36.703,True,False,False
quiet_run_score,s01,s0102a,s01_s0102a_raw_nemo_buffer_000076,404.896,12.71,False,False,False
quiet_run_score,s01,s0102a,s01_s0102a_raw_nemo_buffer_000080,419.472,19.878,False,False,False
quiet_run_score,s01,s0102a,s01_s0102a_raw_nemo_buffer_000085,450.016,58.815,True,True,False
quiet_run_score,s01,s0102a,s01_s0102a_raw_nemo_buffer_000100,494.552,42.25,True,False,False
quiet_run_score,s01,s0102a,s01_s0102a_raw_nemo_buffer_000108,518.04,23.221,True,False,False
quiet_run_score,s01,s0102a,s01_s0102a_raw_nemo_buffer_000111,541.04,19.446,False,False,False
quiet_run_score,s01,s0102a,s01_s0102a_raw_nemo_buffer_000112,549.856,25.104,True,False,False
quiet_run_score,s01,s0102a,s01_s0102a_raw_nemo_buffer_000119,581.832,4.5,False,False,False
current_A,s01,s0102b,s01_s0102b_raw_nemo_buffer_000004,62.152,24.0,True,False,False
current_A,s01,s0102b,s01_s0102b_raw_nemo_buffer_000009,80.144,23.62,True,False,False
current_A,s01,s0102b,s01_s0102b_raw_nemo_buffer_000017,135.712,33.062,True,False,False
current_A,s01,s0102b,s01_s0102b_raw_nemo_buffer_000017,141.864,53.976,True,True,False
current_A,s01,s0102b,s01_s0102b_raw_nemo_buffer_000019,166.56,44.491,True,False,False
current_A,s01,s0102b,s01_s0102b_raw_nemo_buffer_000021,192.192,16.0,False,False,False
current_A,s01,s0102b,s01_s0102b_raw_nemo_buffer_000051,297.232,49.988,True,False,False
current_A,s01,s0102b,s01_s0102b_raw_nemo_buffer_000052,303.368,38.073,True,False,False
current_A,s01,s0102b,s01_s0102b_raw_nemo_buffer_000052,311.072,3.191,False,False,False
